Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004872409.1,P70206,Homo sapiens,PLXNA3,Plexin-A1 OS=Mus musculus GN=Plxna1 PE=1 ,0
XP_004872408.1,P70206,Homo sapiens,PLXNA3,Plexin-A1 OS=Mus musculus GN=Plxna1 PE=1 ,0
XP_004872407.1,P70206,Homo sapiens,PLXNA3,Plexin-A1 OS=Mus musculus GN=Plxna1 PE=1 ,0
XP_004872405.1,Q9BRQ6,Homo sapiens,Chchd6,Coiled-coil-helix-coiled-coil-helix domain-containing ,8.00E-74
XP_004872404.1,Q9BRQ6,Homo sapiens,Chchd6,Coiled-coil-helix-coiled-coil-helix domain-containing ,1.00E-76
XP_004872403.1,Q9BRQ6,Homo sapiens,Chchd6,Coiled-coil-helix-coiled-coil-helix domain-containing ,1.00E-67
XP_004872402.1,Q9BRQ6,Homo sapiens,Chchd6,Coiled-coil-helix-coiled-coil-helix domain-containing ,1.00E-74
XP_004872401.1,Q9BRQ6,Homo sapiens,Chchd6,Coiled-coil-helix-coiled-coil-helix domain-containing ,3.00E-74
XP_004872395.1,Q53EU6,Homo sapiens,Agpat9,Glycerol-3-phosphate acyltransferase 3 ,0
XP_004872394.1,Q9Y6X9,Homo sapiens,Morc2a,MORC family CW-type zinc finger protein ,0
XP_004872393.1,Q5E9P1,Homo sapiens,FAM175B,BRCA1-A complex subunit Abraxas OS=Bos ,7.00E-62
XP_004872392.1,Q6UWZ7,Homo sapiens,FAM175B,BRCA1-A complex subunit Abraxas OS=Homo ,3.00E-61
XP_004872390.1,Q9Y3D5,Homo sapiens,MRPS18C,"28S ribosomal protein S18c, mitochondrial ",6.00E-81
XP_004872388.1,Q6YGZ1,Homo sapiens,HPSE,Heparanase OS=Mus musculus GN=Hpse PE=1 ,0
XP_004872387.1,Q9MYY0,Homo sapiens,Hpse,Heparanase OS=Bos taurus GN=HPSE PE=2 SV=2,0
XP_004872383.1,A7Y521,Homo sapiens,PSMD12,COP9 signalosome complex subunit 4 OS=Sus ,7.00E-12
XP_004872382.1,Q5RBN8,Homo sapiens,LIN54,Protein lin-54 homolog OS=Pongo abelii ,0
XP_004921269.1,Q7Z5J8,Homo sapiens,Ankar,Ankyrin and armadillo repeat-containing ,0
XP_004872373.1,Q96Q45,Homo sapiens,Als2cr4,Amyotrophic lateral sclerosis 2 chromosomal ,4.00E-151
XP_004921268.1,Q6P7F1,Homo sapiens,MPP4,MAGUK p55 subfamily member 4 OS=Mus musculus ,5.00E-15
XP_004872372.1,Q8WU90,Homo sapiens,Zc3h15,Zinc finger CCCH domain-containing protein ,0
XP_004872371.1,Q8NEG5,Homo sapiens,Zswim2,Zinc finger SWIM domain-containing protein ,0
XP_004872370.1,Q16602,Homo sapiens,CALCRL,Calcitonin gene-related peptide type 1 ,0
XP_004872367.1,Q9UBP9,Homo sapiens,Gulp1,PTB domain-containing engulfment adapter ,0
XP_004872366.1,Q9UBP9,Homo sapiens,Gulp1,PTB domain-containing engulfment adapter ,0
XP_004872365.1,Q9UBP9,Homo sapiens,Gulp1,PTB domain-containing engulfment adapter ,0
XP_004872364.1,Q9UBP9,Homo sapiens,Gulp1,PTB domain-containing engulfment adapter ,0
XP_004872363.1,Q9UBP9,Homo sapiens,Gulp1,PTB domain-containing engulfment adapter ,0
XP_004872362.1,Q9UBP9,Homo sapiens,Gulp1,PTB domain-containing engulfment adapter ,0
XP_004872357.1,Q9JHI9,Homo sapiens,Als2cr12,Solute carrier family 40 member 1 OS=Mus ,3.00E-159
XP_004872343.1,Q9C0K7,Homo sapiens,Stradb,STE20-related kinase adapter protein beta ,0
XP_004872342.1,Q9C0K7,Homo sapiens,Stradb,STE20-related kinase adapter protein beta ,0
XP_004872341.1,Q9C0K7,Homo sapiens,Stradb,STE20-related kinase adapter protein beta ,0
XP_004872340.1,Q9C0K7,Homo sapiens,Stradb,STE20-related kinase adapter protein beta ,0
XP_004872323.1,O43307,Homo sapiens,Arhgef9,Rho guanine nucleotide exchange factor ,0
XP_004872311.1,P20839,Homo sapiens,Impdh1,Inosine-5'-monophosphate dehydrogenase ,0
XP_004872310.1,P20839,Homo sapiens,Impdh1,Inosine-5'-monophosphate dehydrogenase ,0
XP_004872309.1,Q5HYM0,Homo sapiens,ZC3H12C,Probable ribonuclease ZC3H12B OS=Homo sapiens ,0
XP_004872308.1,Q5HYM0,Homo sapiens,ZC3H12C,Probable ribonuclease ZC3H12B OS=Homo sapiens ,0
XP_004872303.1,P26041,Homo sapiens,Msn,Moesin OS=Mus musculus GN=Msn PE=1 SV=3,0
XP_004872302.1,Q9Y279,Homo sapiens,HEPH,V-set and immunoglobulin domain-containing ,0
XP_004872299.1,Q9HAV5,Homo sapiens,Eda2r,Tumor necrosis factor receptor superfamily ,2.00E-148
XP_004872298.1,O15480,Homo sapiens,MAGEB18,Melanoma-associated antigen B3 OS=Homo ,9.00E-56
XP_004872297.1,O15480,Homo sapiens,MAGEB18,Melanoma-associated antigen B3 OS=Homo ,4.00E-54
XP_004872296.1,O15480,Homo sapiens,MAGEB18,Melanoma-associated antigen B3 OS=Homo ,7.00E-54
XP_004872294.1,Q8NEM7,Homo sapiens,FAM48B2,Protein FAM48A OS=Homo sapiens GN=FAM48A ,4.00E-123
XP_004872293.1,Q96LI9,Homo sapiens,POL,Putative uncharacterized protein CXorf58 ,0
XP_004872291.1,P09884,Homo sapiens,Pola1,DNA polymerase alpha catalytic subunit ,0
XP_004872275.1,Q9Y305,Homo sapiens,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial ",0
XP_004872274.1,Q9Y305,Homo sapiens,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial ",0
XP_004872264.1,Q8IY47,Homo sapiens,KBTBD2,Kelch repeat and BTB domain-containing ,0
XP_004872263.1,O95302,Homo sapiens,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9 ,0
XP_004872249.1,Q5R7Q3,Homo sapiens,NIPA2,Magnesium transporter NIPA2 OS=Pongo abelii ,0
XP_004872248.1,Q5R7Q3,Homo sapiens,NIPA2,Magnesium transporter NIPA2 OS=Pongo abelii ,0
XP_004872246.1,O95714,Homo sapiens,Herc2,Probable E3 ubiquitin-protein ligase HERC2 ,0
XP_004872245.1,O95714,Homo sapiens,Herc2,Probable E3 ubiquitin-protein ligase HERC2 ,0
XP_004872244.1,O95714,Homo sapiens,Herc2,Probable E3 ubiquitin-protein ligase HERC2 ,0
XP_004872243.1,O95714,Homo sapiens,Herc2,Probable E3 ubiquitin-protein ligase HERC2 ,0
XP_004872242.1,Q99928,Homo sapiens,Gabrg3,Gamma-aminobutyric acid receptor subunit ,0
XP_004872241.1,Q99928,Homo sapiens,Gabrg3,Gamma-aminobutyric acid receptor subunit ,0
XP_004872240.1,Q99928,Homo sapiens,Gabrg3,Gamma-aminobutyric acid receptor subunit ,0
XP_004872239.1,P31644,Homo sapiens,GABRA5,Gamma-aminobutyric acid receptor subunit ,0
XP_004872238.1,P28472,Homo sapiens,Gabrb3,Gamma-aminobutyric acid receptor subunit ,0
XP_004872237.1,P28472,Homo sapiens,Gabrb3,Gamma-aminobutyric acid receptor subunit ,0
XP_004872232.1,P84089,Homo sapiens,ERH,Enhancer of rudimentary homolog OS=Mus musculus ,4.00E-61
XP_004872226.1,Q9BZI7,Homo sapiens,Ankrd58,Regulator of nonsense transcripts 3B OS=Homo ,9.00E-81
XP_004872223.1,Q3SZN0,Homo sapiens,6-Sep,Septin-6 OS=Bos taurus GN=SEPT6 PE=2 SV=1,0
XP_004872222.1,Q3SZN0,Homo sapiens,6-Sep,Septin-6 OS=Bos taurus GN=SEPT6 PE=2 SV=1,0
XP_004872221.1,Q3SZN0,Homo sapiens,6-Sep,Septin-6 OS=Bos taurus GN=SEPT6 PE=2 SV=1,0
XP_004872213.1,Q09073,Homo sapiens,SLC25A5,ADP/ATP translocase 2 OS=Rattus norvegicus ,0
XP_004872205.1,Q496Y0,Homo sapiens,Lonrf3,LON peptidase N-terminal domain and RING ,0
XP_004872204.1,Q6PEW1,Homo sapiens,ZCCHC12,Zinc finger CCHC domain-containing protein ,0
XP_004872203.1,Q6PEW1,Homo sapiens,ZCCHC12,Zinc finger CCHC domain-containing protein ,0
XP_004872202.1,P78552,Homo sapiens,Il13ra1,Interleukin-13 receptor subunit alpha-1 ,0
XP_004872199.1,A6QQY2,Homo sapiens,KLHL13,Kelch-like protein 13 OS=Bos taurus GN=KLHL13 ,0
XP_004872198.1,A6QQY2,Homo sapiens,KLHL13,Kelch-like protein 13 OS=Bos taurus GN=KLHL13 ,0
XP_004872197.1,A6QQY2,Homo sapiens,KLHL13,Kelch-like protein 13 OS=Bos taurus GN=KLHL13 ,0
XP_004872196.1,A6QQY2,Homo sapiens,KLHL13,Kelch-like protein 13 OS=Bos taurus GN=KLHL13 ,0
XP_004872195.1,A6QQY2,Homo sapiens,KLHL13,Kelch-like protein 13 OS=Bos taurus GN=KLHL13 ,0
XP_004872194.1,A6QQY2,Homo sapiens,KLHL13,Kelch-like protein 13 OS=Bos taurus GN=KLHL13 ,0
XP_004872192.1,Q9UN76,Homo sapiens,Slc6a5,Sodium- and chloride-dependent neutral ,0
XP_004872187.1,Q96ST3,Homo sapiens,Sin3a,Paired amphipathic helix protein Sin3a ,0
XP_004872186.1,Q8TAC9,Homo sapiens,SCAMP5,Secretory carrier-associated membrane protein ,3.00E-92
XP_004872183.1,Q9UKP4,Homo sapiens,Adamts7,A disintegrin and metalloproteinase with ,0
XP_004872182.1,Q9UKP4,Homo sapiens,Adamts7,A disintegrin and metalloproteinase with ,0
XP_004872181.1,Q9UKP4,Homo sapiens,Adamts7,A disintegrin and metalloproteinase with ,0
XP_004872155.1,P29762,Homo sapiens,Crabp1,Cellular retinoic acid-binding protein ,1.00E-96
XP_004872148.1,P32297,Homo sapiens,CHRNA3,Neuronal acetylcholine receptor subunit ,0
XP_004872147.1,P30926,Homo sapiens,Chrnb4,Neuronal acetylcholine receptor subunit ,0
XP_004872142.1,Q8WWG1,Homo sapiens,Nrg4,"Pro-neuregulin-4, membrane-bound isoform ",2.00E-34
XP_004872141.1,Q8WWG1,Homo sapiens,Nrg4,"Pro-neuregulin-4, membrane-bound isoform ",2.00E-50
XP_004872140.1,Q8WWG1,Homo sapiens,Nrg4,"Pro-neuregulin-4, membrane-bound isoform ",2.00E-50
XP_004872139.1,Q8WWG1,Homo sapiens,Nrg4,"Pro-neuregulin-4, membrane-bound isoform ",2.00E-50
XP_004872138.1,Q8WWG1,Homo sapiens,Nrg4,"Pro-neuregulin-4, membrane-bound isoform ",2.00E-50
XP_004872137.1,Q8WWG1,Homo sapiens,Nrg4,"Pro-neuregulin-4, membrane-bound isoform ",2.00E-50
XP_004872131.1,Q9BY12,Homo sapiens,SCAPER,S phase cyclin A-associated protein in ,0
XP_004872129.1,Q9BY12,Homo sapiens,SCAPER,S phase cyclin A-associated protein in ,0
XP_004872127.1,Q9BY12,Homo sapiens,SCAPER,S phase cyclin A-associated protein in ,0
XP_004872124.1,O43586,Homo sapiens,Pstpip1,Proline-serine-threonine phosphatase-interacting ,0
XP_004872123.1,Q5RE11,Homo sapiens,TSPAN3,Tetraspanin-3 OS=Pongo abelii GN=TSPAN3 ,6.00E-162
XP_004872122.1,Q5RE11,Homo sapiens,TSPAN3,Tetraspanin-3 OS=Pongo abelii GN=TSPAN3 ,2.00E-168
XP_004872115.1,Q6UVK1,Homo sapiens,FREM1,Chondroitin sulfate proteoglycan 4 OS=Homo ,5.00E-49
XP_004872114.1,Q8IXM7,Homo sapiens,Odf3l1,Outer dense fiber protein 3-like protein ,7.00E-132
XP_004872099.1,Q96CD2,Homo sapiens,Ppcdc,Phosphopantothenoylcysteine decarboxylase ,9.00E-131
XP_004872098.1,Q96CD2,Homo sapiens,Ppcdc,Phosphopantothenoylcysteine decarboxylase ,9.00E-131
XP_004872097.1,Q5PPN2,Homo sapiens,C9orf23,Ribonuclease P protein subunit p25 OS=Rattus ,1.00E-30
XP_004872092.1,O15127,Homo sapiens,Scamp2,Secretory carrier-associated membrane protein ,0
XP_004872086.1,Q8R1B5,Homo sapiens,CPLX3,Complexin-3 OS=Mus musculus GN=Cplx3 PE=1 ,9.00E-86
XP_004921266.1,Q9H6Y5,Homo sapiens,TMED2,PDZ domain-containing protein MAGIX OS=Homo ,4.00E-118
XP_004872078.1,Q7RTT6,Homo sapiens,SSX8,Protein SSX6 OS=Homo sapiens GN=SSX6 PE=2 ,9.00E-13
XP_004872074.1,O60220,Homo sapiens,Timm8a,Mitochondrial import inner membrane translocase ,3.00E-51
XP_004872070.1,Q64152,Homo sapiens,BTF3,Transcription factor BTF3 OS=Mus musculus ,1.00E-98
XP_004872069.1,Q5KSL6,Homo sapiens,DGKH,Diacylglycerol kinase kappa OS=Homo sapiens ,0
XP_004872063.1,Q6ZSY5,Homo sapiens,Ppp1r3f,Protein phosphatase 1 regulatory subunit ,0
XP_004872062.1,Q6ZSY5,Homo sapiens,Ppp1r3f,Protein phosphatase 1 regulatory subunit ,0
XP_004872061.1,O60826,Homo sapiens,Ccdc22,Coiled-coil domain-containing protein 22 ,0
XP_004872060.1,O60826,Homo sapiens,Ccdc22,Coiled-coil domain-containing protein 22 ,0
XP_004872059.1,O60826,Homo sapiens,Ccdc22,Coiled-coil domain-containing protein 22 ,0
XP_004872058.1,Q6U8D7,Homo sapiens,FOXP3,Forkhead box protein P3 OS=Macaca fascicularis ,0
XP_004872057.1,Q6U8D7,Homo sapiens,FOXP3,Forkhead box protein P3 OS=Macaca fascicularis ,0
XP_004872056.1,O60840,Homo sapiens,Cacna1f,Voltage-dependent L-type calcium channel ,0
XP_004872055.1,Q5YJC1,Homo sapiens,Syp,Synaptophysin OS=Spermophilus citellus GN=SYP ,1.00E-149
XP_004872054.1,Q95MN6,Homo sapiens,Plp2,Proteolipid protein 2 OS=Oryctolagus cuniculus ,3.00E-88
XP_004872053.1,Q80VL3,Homo sapiens,PRICKLE3,Prickle-like protein 3 OS=Mus musculus ,0
XP_004872052.1,Q80VL3,Homo sapiens,PRICKLE3,Prickle-like protein 3 OS=Mus musculus ,0
XP_004872051.1,Q92917,Homo sapiens,Gpkow,G patch domain and KOW motifs-containing ,0
XP_004872050.1,Q92917,Homo sapiens,Gpkow,G patch domain and KOW motifs-containing ,0
XP_004872049.1,Q4R4I9,Homo sapiens,ARL6IP5,PRA1 family protein 2 OS=Macaca fascicularis ,5.00E-25
XP_004872048.1,Q9Y484,Homo sapiens,Wdr45,WD repeat domain phosphoinositide-interacting ,0
XP_004872041.1,Q96HB5,Homo sapiens,CCDC120,Coiled-coil domain-containing protein 120 ,0
XP_004872039.1,Q96HB5,Homo sapiens,CCDC120,Coiled-coil domain-containing protein 120 ,0
XP_004872037.1,Q96HB5,Homo sapiens,TFE3,Coiled-coil domain-containing protein 120 ,0
XP_004872031.1,Q8VD04,Homo sapiens,GRIPAP1,GRIP1-associated protein 1 OS=Mus musculus ,0
XP_004872029.1,Q9NSA2,Homo sapiens,Kcnd1,Potassium voltage-gated channel subfamily ,0
XP_004872022.1,Q9R0M8,Homo sapiens,SLC35A2,UDP-galactose translocator OS=Mus musculus ,2.00E-159
XP_004872020.1,Q9R0M8,Homo sapiens,SLC35A2,UDP-galactose translocator OS=Mus musculus ,0
XP_004872019.1,O60830,Homo sapiens,Timm17b,Mitochondrial import inner membrane translocase ,8.00E-117
XP_004872018.1,O60830,Homo sapiens,Timm17b,Mitochondrial import inner membrane translocase ,7.00E-110
XP_004872012.1,Q9Z2V5,Homo sapiens,hda-6,Histone deacetylase 6 OS=Mus musculus GN=Hdac6 ,5.00E-165
XP_004871987.1,Q9UET6,Homo sapiens,R74.7,Putative ribosomal RNA methyltransferase ,5.00E-96
XP_004871986.1,Q8WUX1,Homo sapiens,SLC38A5,Sodium-coupled neutral amino acid transporter ,0
XP_004871985.1,Q8WUX1,Homo sapiens,SLC38A5,Sodium-coupled neutral amino acid transporter ,0
XP_004871984.1,Q8WUX1,Homo sapiens,SLC38A5,Sodium-coupled neutral amino acid transporter ,0
XP_004871983.1,Q9UJ42,Homo sapiens,Gpr160,Probable G-protein coupled receptor 160 ,4.00E-129
XP_004871982.1,Q5R9S5,Homo sapiens,ZNF182,Zinc finger protein 182 OS=Pongo abelii ,0
XP_004871980.1,P62936,Homo sapiens,PPIAL4A,Peptidyl-prolyl cis-trans isomerase A OS=Sus ,6.00E-90
XP_004871978.1,O76000,Homo sapiens,OR2A5,Putative olfactory receptor 2B3 OS=Homo ,5.00E-76
XP_004871977.1,Q8NGT7,Homo sapiens,OR2D3,Olfactory receptor 2A12 OS=Homo sapiens ,1.00E-90
XP_004871974.1,Q8N4L8,Homo sapiens,SLC6A9,Coiled-coil domain-containing protein 24 ,0
XP_004871972.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871971.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871970.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871969.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871968.1,P48067,Homo sapiens,SLC6A9,Sodium- and chloride-dependent glycine ,0
XP_004871967.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871966.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871965.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871963.1,P48067,Homo sapiens,SLC6A9,Sodium- and chloride-dependent glycine ,0
XP_004871962.1,P48067,Homo sapiens,Slc6a9,Sodium- and chloride-dependent glycine ,0
XP_004871954.1,Q5RE82,Homo sapiens,Ipo13,Diphthamide biosynthesis protein 2 OS=Pongo ,0
XP_004871944.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871942.1,P10586,Homo sapiens,PTPRF,Receptor-type tyrosine-protein phosphatase ,0
XP_004871940.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871939.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871937.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871935.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871934.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871933.1,P10586,Homo sapiens,Ptprf,Receptor-type tyrosine-protein phosphatase ,0
XP_004871920.1,Q5T011,Homo sapiens,Med8,Uncharacterized protein KIAA0467 OS=Homo ,3.00E-162
XP_004871917.1,Q5H7C0,Homo sapiens,Cdc20,Cell division cycle protein 20 homolog OS=Sus ,0
XP_004871916.1,Q9BW60,Homo sapiens,Elovl1,Elongation of very long chain fatty acids ,0
XP_004871915.1,Q9BW60,Homo sapiens,Elovl1,Elongation of very long chain fatty acids ,2.00E-165
XP_004871914.1,Q9BW60,Homo sapiens,Elovl1,Elongation of very long chain fatty acids ,0
XP_004871913.1,Q9BW60,Homo sapiens,Elovl1,Elongation of very long chain fatty acids ,2.00E-176
XP_004871912.1,Q9BW60,Homo sapiens,Elovl1,Elongation of very long chain fatty acids ,0
XP_004871909.1,P35590,Homo sapiens,TEK,Tyrosine-protein kinase receptor Tie-1 OS=Homo ,0
XP_004871908.1,P35590,Homo sapiens,TEK,Tyrosine-protein kinase receptor Tie-1 OS=Homo ,0
XP_004871907.1,P35590,Homo sapiens,TEK,Tyrosine-protein kinase receptor Tie-1 OS=Homo ,0
XP_004871906.1,Q8IVY1,Homo sapiens,C1orf210,Putative uncharacterized protein C1orf210 ,9.00E-36
XP_004871904.1,Q8IVY1,Homo sapiens,C1orf210,Putative uncharacterized protein C1orf210 ,4.00E-39
XP_004871902.1,Q8IVY1,Homo sapiens,EBNA1BP2,Putative uncharacterized protein C1orf210 ,6.00E-179
XP_004871899.1,Q96MR6,Homo sapiens,WDR52,WD repeat-containing protein 65 OS=Homo ,4.00E-16
XP_004871896.1,Q8NGT7,Homo sapiens,OR2A2,Olfactory receptor 2A12 OS=Homo sapiens ,2.00E-82
XP_004871895.1,Q8NGN3,Homo sapiens,OR2D2,Olfactory receptor 10G4 OS=Homo sapiens ,7.00E-81
XP_004871894.1,O76000,Homo sapiens,OR2B2,Putative olfactory receptor 2B3 OS=Homo ,6.00E-93
XP_004871892.1,P11166,Homo sapiens,Slc2a1,"Solute carrier family 2, facilitated glucose ",0
XP_004871891.1,Q96PL5,Homo sapiens,TRIM27,Erythroid membrane-associated protein OS=Homo ,2.00E-58
XP_004871881.1,P67809,Homo sapiens,YBX1,Nuclease-sensitive element-binding protein ,1.00E-117
XP_004871877.1,Q9H0C1,Homo sapiens,ZMYND12,Zinc finger MYND domain-containing protein ,0
XP_004871875.1,Q9HAB8,Homo sapiens,Rimkla,Phosphopantothenate--cysteine ligase OS=Homo ,0
XP_004871870.1,Q8BUR3,Homo sapiens,FOXJ3,Forkhead box protein J3 OS=Mus musculus ,0
XP_004871862.1,Q70KY4,Homo sapiens,FOXO6,Forkhead box protein O6 OS=Mus musculus ,2.00E-142
XP_004871849.1,P70698,Homo sapiens,ctps,CTP synthase 1 OS=Mus musculus GN=Ctps ,0
XP_004871848.1,Q2HJ78,Homo sapiens,Kcnq4,Cbp/p300-interacting transactivator 4 OS=Bos ,0
XP_004871846.1,P56696,Homo sapiens,Kcnq4,Potassium voltage-gated channel subfamily ,0
XP_004871840.1,Q9UJD0,Homo sapiens,Rims3,Regulating synaptic membrane exocytosis ,0
XP_004871839.1,Q4R6J4,Homo sapiens,ZNF684,Zinc finger protein 684 OS=Macaca fascicularis ,2.00E-39
XP_004871838.1,Q4R6J4,Homo sapiens,ZNF684,Zinc finger protein 684 OS=Macaca fascicularis ,0
XP_004871837.1,Q9H790,Homo sapiens,Dem1,Defects in morphology protein 1 homolog ,0
XP_004871836.1,Q8TBZ8,Homo sapiens,ZNF670,Zinc finger protein 564 OS=Homo sapiens ,9.00E-36
XP_004871832.1,A6QLC6,Homo sapiens,yipf6,Protein YIPF6 OS=Bos taurus GN=YIPF6 PE=2 ,1.00E-117
XP_004871831.1,A6QLC6,Homo sapiens,yipf6,Protein YIPF6 OS=Bos taurus GN=YIPF6 PE=2 ,1.00E-117
XP_004871821.1,Q9BEG5,Homo sapiens,Eda,Ectodysplasin-A OS=Bos taurus GN=EDA PE=3 ,4.00E-99
XP_004871820.1,Q9BEG5,Homo sapiens,Eda,Ectodysplasin-A OS=Bos taurus GN=EDA PE=3 ,4.00E-92
XP_004871819.1,Q9BEG5,Homo sapiens,Eda,Ectodysplasin-A OS=Bos taurus GN=EDA PE=3 ,2.00E-102
XP_004871818.1,Q9BEG5,Homo sapiens,Eda,Ectodysplasin-A OS=Bos taurus GN=EDA PE=3 ,2.00E-103
XP_004871816.1,Q9BEG5,Homo sapiens,Eda,Ectodysplasin-A OS=Bos taurus GN=EDA PE=3 ,5.00E-107
XP_004871815.1,Q6E213,Homo sapiens,Awat2,Acyl-CoA wax alcohol acyltransferase 2 ,0
XP_004871814.1,O15072,Homo sapiens,Adamts2,A disintegrin and metalloproteinase with ,0
XP_004871811.1,Q80TM6,Homo sapiens,Amtn,R3H domain-containing protein 2 OS=Mus ,1.00E-55
XP_004871808.1,P19442,Homo sapiens,CSN3,Kappa-casein OS=Cavia porcellus GN=CSN3 ,3.00E-34
XP_004871798.1,Q8C5Q4,Homo sapiens,GRSF1,G-rich sequence factor 1 OS=Mus musculus ,0
XP_004871797.1,Q8C5Q4,Homo sapiens,GRSF1,G-rich sequence factor 1 OS=Mus musculus ,0
XP_004871796.1,Q8C5Q4,Homo sapiens,GRSF1,G-rich sequence factor 1 OS=Mus musculus ,0
XP_004871795.1,Q8C5Q4,Homo sapiens,GRSF1,G-rich sequence factor 1 OS=Mus musculus ,0
XP_004871786.1,Q6AXX4,Homo sapiens,IGJ,Something about silencing protein 10 OS=Rattus ,3.00E-69
XP_004871781.1,P49887,Homo sapiens,SULT1E1,Estrogen sulfotransferase OS=Cavia porcellus ,4.00E-172
XP_004871780.1,P50226,Homo sapiens,SULT1A1,Sulfotransferase 1A2 OS=Homo sapiens GN=SULT1A2 ,5.00E-131
XP_004871769.1,P48034,Homo sapiens,AOX1,Aldehyde oxidase OS=Bos taurus GN=AOX1 PE=1 ,0
XP_004871768.1,Q9H4B0,Homo sapiens,Osgepl1,Probable O-sialoglycoprotein endopeptidase ,3.00E-125
XP_004871765.1,Q8N8A2,Homo sapiens,ANK1,Serine/threonine-protein phosphatase 6 ,5.00E-84
XP_004871764.1,Q8N8A2,Homo sapiens,ANK1,Serine/threonine-protein phosphatase 6 ,3.00E-80
XP_004871763.1,Q8N8A2,Homo sapiens,ANK1,Serine/threonine-protein phosphatase 6 ,4.00E-80
XP_004871762.1,Q8N8A2,Homo sapiens,ANK1,Serine/threonine-protein phosphatase 6 ,7.00E-80
XP_004871757.1,P26772,Homo sapiens,HSPE1,"10 kDa heat shock protein, mitochondrial OS=Rattus ",3.00E-57
XP_004871749.1,Q96GW9,Homo sapiens,Mars2,"Methionyl-tRNA synthetase, mitochondrial ",0
XP_004871748.1,Q8WP23,Homo sapiens,bol,Protein boule-like OS=Macaca fascicularis ,2.00E-32
XP_004871746.1,Q15111,Homo sapiens,Plcl1,Inactive phospholipase C-like protein 1 ,0
XP_004871741.1,Q8VI24,Homo sapiens,SATB2,DNA-binding protein SATB2 OS=Mus musculus ,0
XP_004871740.1,Q8VI24,Homo sapiens,SATB2,DNA-binding protein SATB2 OS=Mus musculus ,0
XP_004871739.1,Q8N8R5,Homo sapiens,C2orf47,UPF0565 protein C2orf69 OS=Homo sapiens ,1.00E-84
XP_004871736.1,Q8WWC4,Homo sapiens,C2orf60,"Uncharacterized protein C2orf47, mitochondrial ",0
XP_004871731.1,Q6PI47,Homo sapiens,KCTD18,BTB/POZ domain-containing protein KCTD18 ,2.00E-151
XP_004871730.1,Q6PI47,Homo sapiens,KCTD18,BTB/POZ domain-containing protein KCTD18 ,2.00E-151
XP_004871729.1,Q6PI47,Homo sapiens,KCTD18,BTB/POZ domain-containing protein KCTD18 ,2.00E-151
XP_004871728.1,Q6PI47,Homo sapiens,KCTD18,BTB/POZ domain-containing protein KCTD18 ,2.00E-151
XP_004871727.1,Q6PI47,Homo sapiens,KCTD18,BTB/POZ domain-containing protein KCTD18 ,3.00E-161
XP_004871726.1,Q6PI47,Homo sapiens,KCTD18,BTB/POZ domain-containing protein KCTD18 ,7.00E-151
XP_004871713.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,1.00E-103
XP_004871712.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,1.00E-103
XP_004871711.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,1.00E-103
XP_004871710.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,1.00E-103
XP_004871709.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,1.00E-103
XP_004871708.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,1.00E-103
XP_004871706.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,0
XP_004871705.1,Q05B89,Homo sapiens,Nif3l1,NIF3-like protein 1 OS=Bos taurus GN=NIF3L1 ,3.00E-102
